,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
187,2004-03-13,,Premier League,Matchweek 28,Sat,Away,W,2,0,Blackburn,,28627,,,Alan Wiley,Match Report,,2003-2004,
188,2004-03-20,,Premier League,Matchweek 29,Sat,Home,W,2,1,Bolton,,38053,,,Graham Barber,Match Report,,2003-2004,
189,2004-03-24,,Champions Lg,Quarter-finals,Wed,Away,D,1,1,eng Chelsea,,,,,Mejuto González,Match Report,Leg 1 of 2,2003-2004,
190,2004-03-28,,Premier League,Matchweek 30,Sun,Home,D,1,1,Manchester Utd,,38184,,,Graham Poll,Match Report,,2003-2004,
191,2004-04-06,,Champions Lg,Quarter-finals,Tue,Home,L,1,2,eng Chelsea,,,,,Markus Merk,Match Report,Leg 2 of 2,2003-2004,2003-2004
192,2004-04-09,,Premier League,Matchweek 32,Fri,Home,W,4,2,Liverpool,,38119,,,Alan Wiley,Match Report,,2003-2004,
193,2004-04-11,,Premier League,Matchweek 33,Sun,Away,D,0,0,Newcastle Utd,,52141,,,Paul Durkin,Match Report,,2003-2004,
194,2004-04-16,,Premier League,Matchweek 34,Fri,Home,W,5,0,Leeds United,,38094,,,Dermot Gallagher,Match Report,,2003-2004,
195,2004-04-25,,Premier League,Matchweek 35,Sun,Away,D,2,2,Tottenham,,36097,,,Mark Halsey,Match Report,,2003-2004,
196,2004-05-01,,Premier League,Matchweek 36,Sat,Home,D,0,0,Birmingham City,,38061,,,Graham Poll,Match Report,,2003-2004,
197,2004-05-04,,Premier League,Matchweek 31,Tue,Away,D,1,1,Portsmouth,,20140,,,Mike Riley,Match Report,,2003-2004,
