,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
97,2017-04-08,12:30 ,Premier League,Matchweek 32,Sat,Home,W,4,0,Watford,58,"31,706",Hugo Lloris,4-2-3-1,Anthony Taylor,Match Report,,2016-2017,2016-2017,2016-2017,,
98,2017-04-15,12:30 ,Premier League,Matchweek 33,Sat,Home,W,4,0,Bournemouth,69,"31,943",Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,,2016-2017,2016-2017,2016-2017,,
99,2017-04-22,17:15 ,FA Cup,Semi-finals,Sat,Away,L,2,4,Chelsea,,"86,355",,,Martin Atkinson,Match Report,,2016-2017,2016-2017,2016-2017,,
100,2017-04-26,20:00 ,Premier League,Matchweek 28,Wed,Away,W,1,0,Crystal Palace,69,"25,596",Hugo Lloris,3-4-3,Jonathan Moss,Match Report,,2016-2017,2016-2017,2016-2017,,
101,2017-04-30,16:30 ,Premier League,Matchweek 35,Sun,Home,W,2,0,Arsenal,51,"31,811",Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,,2016-2017,2016-2017,2016-2017,,
102,2017-05-05,20:00 ,Premier League,Matchweek 36,Fri,Away,L,0,1,West Ham,68,"56,992",Hugo Lloris,4-2-3-1,Anthony Taylor,Match Report,,2016-2017,2016-2017,2016-2017,,
103,2017-05-14,16:30 ,Premier League,Matchweek 37,Sun,Home,W,2,1,Manchester Utd,60,"31,848",Hugo Lloris,4-2-3-1,Jonathan Moss,Match Report,,2016-2017,2016-2017,2016-2017,,
104,2017-05-18,19:45 ,Premier League,Matchweek 34,Thu,Away,W,6,1,Leicester City,63,"31,351",Hugo Lloris,3-4-3,Michael Oliver,Match Report,,2016-2017,2016-2017,2016-2017,,
105,2017-05-21,15:00 ,Premier League,Matchweek 38,Sun,Away,W,7,1,Hull City,65,"23,804",Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,2016-2017,2016-2017,2016-2017,,
106,2017-08-13,13:30 ,Premier League,Matchweek 1,Sun,Away,W,2,0,Newcastle Utd,2.5,0.8,72,"52,077",Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,2017-2018,2017-2018,2017-2018
107,2017-08-20,16:00 ,Premier League,Matchweek 2,Sun,Home,L,1,2,Chelsea,0.7,0.7,68,"73,587",Hugo Lloris,4-3-2-1,Anthony Taylor,Match Report,,2017-2018,2017-2018,2017-2018
108,2017-08-27,16:00 ,Premier League,Matchweek 3,Sun,Home,D,1,1,Burnley,2.3,0.9,66,"67,862",Hugo Lloris,4-2-3-1,Lee Mason,Match Report,,2017-2018,2017-2018,2017-2018
