,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
150,2009-02-07,,Premier League,Matchweek 25,Sat,Away,W,3,2,West Brom,,"25,817",,4-4-2,Chris Foy,Match Report,,2008-2009,2008-2009,2008-2009
151,2009-02-22,,Premier League,Matchweek 26,Sun,Home,D,0,0,Everton,,"47,683",,4-4-2,Lee Mason,Match Report,,2008-2009,2008-2009,2008-2009
152,2009-03-01,,Premier League,Matchweek 27,Sun,Away,L,0,1,Bolton,,"20,763",,4-4-2,Alan Wiley,Match Report,,2008-2009,2008-2009,2008-2009
153,2009-03-04,,Premier League,Matchweek 28,Wed,Home,L,1,2,Manchester Utd,,"51,636",,4-4-1-1,Stephen Bennett,Match Report,,2008-2009,2008-2009,2008-2009
154,2009-03-14,,Premier League,Matchweek 29,Sat,Away,D,1,1,Hull City,,"24,914",,4-4-2,Howard Webb,Match Report,,2008-2009,2008-2009,2008-2009
155,2009-03-21,,Premier League,Matchweek 30,Sat,Home,L,1,3,Arsenal,,"49,972",,4-4-2,Mark Halsey,Match Report,,2008-2009,2008-2009,2008-2009
156,2009-04-04,,Premier League,Matchweek 31,Sat,Home,L,0,2,Chelsea,,"52,112",,4-4-2,Rob Styles,Match Report,,2008-2009,2008-2009,2008-2009
157,2009-04-11,,Premier League,Matchweek 32,Sat,Away,D,1,1,Stoke City,,"27,500",,5-3-2,Chris Foy,Match Report,,2008-2009,2008-2009,2008-2009
158,2009-04-19,,Premier League,Matchweek 33,Sun,Away,L,0,1,Tottenham,,,,3-5-2,Mark Halsey,Match Report,,2008-2009,2008-2009,2008-2009
159,2009-04-27,,Premier League,Matchweek 34,Mon,Home,D,0,0,Portsmouth,,,,4-3-3,Mike Riley,Match Report,,2008-2009,2008-2009,2008-2009
160,2009-05-03,,Premier League,Matchweek 35,Sun,Away,L,0,3,Liverpool,,"44,121",,4-2-3-1,Phil Dowd,Match Report,,2008-2009,2008-2009,2008-2009
161,2009-05-11,,Premier League,Matchweek 36,Mon,Home,W,3,1,Middlesbrough,,"51,252",,4-4-2,Mike Dean,Match Report,,2008-2009,2008-2009,2008-2009
162,2009-05-16,,Premier League,Matchweek 37,Sat,Home,L,0,1,Fulham,,"52,114",,4-4-2,Howard Webb,Match Report,,2008-2009,2008-2009,2008-2009
163,2009-05-24,,Premier League,Matchweek 38,Sun,Away,L,0,1,Aston Villa,,"42,585",,4-4-2,Chris Foy,Match Report,,2008-2009,2008-2009,2008-2009
