,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
97,2002-03-30,,Premier League,Matchweek 32,Sat,Home,W,2,0,Charlton Ath,,44094,,,Dermot Gallagher,Match Report,,2001-2002,2001-2002,2001-2002,
98,2002-04-03,,Champions Lg,Quarter-finals,Wed,Home,W,1,0,de Leverkusen,,,,,Anders Frisk,Match Report,Leg 1 of 2,2001-2002,2001-2002,2001-2002,
99,2002-04-09,,Champions Lg,Quarter-finals,Tue,Away,L,2,4,de Leverkusen,,,,,Vítor Melo Pereira,Match Report,Leg 2 of 2, Leverkusen won,2001-2002,2001-2002,2001-2002
100,2002-04-13,,Premier League,Matchweek 35,Sat,Away,W,1,0,Sunderland,,48335,,,Dermot Gallagher,Match Report,,2001-2002,2001-2002,2001-2002,
101,2002-04-20,,Premier League,Matchweek 36,Sat,Home,W,2,0,Derby County,,43510,,,Mike Riley,Match Report,,2001-2002,2001-2002,2001-2002,
102,2002-04-27,,Premier League,Matchweek 37,Sat,Away,L,0,1,Tottenham,,36017,,,Peter Jones,Match Report,,2001-2002,2001-2002,2001-2002,
103,2002-05-08,,Premier League,Matchweek 34,Wed,Home,W,4,3,Blackburn,,40663,,,Alan Wiley,Match Report,,2001-2002,2001-2002,2001-2002,
104,2002-05-11,,Premier League,Matchweek 38,Sat,Home,W,5,0,Ipswich Town,,44088,,,Steve Dunn,Match Report,,2001-2002,2001-2002,2001-2002,
105,2002-08-18,,Premier League,Matchweek 1,Sun,Away,W,1,0,Aston Villa,,41183,,,Andy D'Urso,Match Report,,2002-2003,2002-2003,2002-2003,
106,2002-08-24,,Premier League,Matchweek 2,Sat,Home,W,3,0,Southampton,,43058,,,Jeff Winter,Match Report,,2002-2003,2002-2003,2002-2003,
107,2002-08-28,,Premier League,Matchweek 3,Wed,Away,D,2,2,Blackburn,,29207,,,Stephen Bennett,Match Report,,2002-2003,2002-2003,2002-2003,
108,2002-09-02,,Premier League,Matchweek 4,Mon,Home,D,2,2,Newcastle Utd,,43241,,,Graham Poll,Match Report,,2002-2003,2002-2003,2002-2003,
109,2002-09-11,,Premier League,Matchweek 5,Wed,Home,D,2,2,Birmingham City,,43113,,,Neale Barry,Match Report,,2002-2003,2002-2003,2002-2003,
110,2002-09-14,,Premier League,Matchweek 6,Sat,Away,W,3,2,Bolton,,27238,,,Rob Styles,Match Report,,2002-2003,2002-2003,2002-2003,
111,2002-09-17,,Champions Lg,First group stage,Tue,Away,L,0,2,es Valencia,,,,,Herbert Fandel,Match Report,,2002-2003,2002-2003,2002-2003,
112,2002-09-21,,Premier League,Matchweek 7,Sat,Home,W,2,0,West Brom,,43830,,,David Elleray,Match Report,,2002-2003,2002-2003,2002-2003,
113,2002-09-25,,Champions Lg,First group stage,Wed,Home,D,1,1,ch Basel,,,,,Dick van Egmond,Match Report,,2002-2003,2002-2003,2002-2003,
114,2002-09-28,,Premier League,Matchweek 8,Sat,Away,W,3,0,Manchester City,,35131,,,Paul Durkin,Match Report,,2002-2003,2002-2003,2002-2003,
115,2002-10-02,,Champions Lg,First group stage,Wed,Home,W,5,0,ru Spartak Moscow,,,,,Alain Hamer,Match Report,,2002-2003,2002-2003,2002-2003,
116,2002-10-06,,Premier League,Matchweek 9,Sun,Home,W,1,0,Chelsea,,43856,,,Graham Barber,Match Report,,2002-2003,2002-2003,2002-2003,
117,2002-10-19,,Premier League,Matchweek 10,Sat,Away,W,1,0,Leeds United,,40187,,,Steve Dunn,Match Report,,2002-2003,2002-2003,2002-2003,
118,2002-10-22,,Champions Lg,First group stage,Tue,Away,W,3,1,ru Spartak Moscow,,,,,Konrad Plautz,Match Report,,2002-2003,2002-2003,2002-2003,
119,2002-10-26,,Premier League,Matchweek 11,Sat,Home,W,2,1,Tottenham,,44084,,,Mike Riley,Match Report,,2002-2003,2002-2003,2002-2003,
120,2002-10-30,,Champions Lg,First group stage,Wed,Home,L,0,1,es Valencia,,,,,Terje Hauge,Match Report,,2002-2003,2002-2003,2002-2003,
121,2002-11-02,,Premier League,Matchweek 12,Sat,Home,W,2,0,West Ham,,44048,,,Eddie Wolstenholme,Match Report,,2002-2003,2002-2003,2002-2003,
122,2002-11-09,,Premier League,Matchweek 13,Sat,Away,L,0,1,Middlesbrough,,34747,,,Mark Halsey,Match Report,,2002-2003,2002-2003,2002-2003,
123,2002-11-12,,Champions Lg,First group stage,Tue,Away,D,3,3,ch Basel,,,,,Claude Colombo,Match Report,,2002-2003,2002-2003,2002-2003,
124,2002-11-17,,Premier League,Matchweek 14,Sun,Home,D,0,0,Sunderland,,43074,,,Andy D'Urso,Match Report,,2002-2003,2002-2003,2002-2003,
125,2002-11-23,,Premier League,Matchweek 15,Sat,Away,L,2,3,Fulham,,18144,,,Graham Poll,Match Report,,2002-2003,2002-2003,2002-2003,
126,2002-11-28,,UEFA Cup,Third round,Thu,Away,W,1,0,nl Vitesse,,,,,Mejuto González,Match Report,Leg 1 of 2,2002-2003,2002-2003,2002-2003,
127,2002-12-01,,Premier League,Matchweek 16,Sun,Home,L,1,2,Manchester Utd,,44250,,,Alan Wiley,Match Report,,2002-2003,2002-2003,2002-2003,
128,2002-12-07,,Premier League,Matchweek 17,Sat,Away,L,0,2,Charlton Ath,,26694,,,Mike Riley,Match Report,,2002-2003,2002-2003,2002-2003,
129,2002-12-12,,UEFA Cup,Third round,Thu,Home,W,1,0,nl Vitesse,,,,,Wolfgang Stark,Match Report,Leg 2 of 2, Liverpool won,2002-2003,2002-2003,2002-2003
130,2002-12-15,,Premier League,Matchweek 18,Sun,Away,L,1,2,Sunderland,,37118,,,Mark Halsey,Match Report,,2002-2003,2002-2003,2002-2003,
131,2002-12-22,,Premier League,Matchweek 19,Sun,Home,D,0,0,Everton,,44025,,,Graham Poll,Match Report,,2002-2003,2002-2003,2002-2003,
132,2002-12-26,,Premier League,Matchweek 20,Thu,Home,D,1,1,Blackburn,,43075,,,Neale Barry,Match Report,,2002-2003,2002-2003,2002-2003,
133,2002-12-29,,Premier League,Matchweek 21,Sun,Away,D,1,1,Arsenal,,38074,,,Jeff Winter,Match Report,,2002-2003,2002-2003,2002-2003,
134,2003-01-01,,Premier League,Matchweek 22,Wed,Away,L,0,1,Newcastle Utd,,52147,,,Dermot Gallagher,Match Report,,2002-2003,2002-2003,2002-2003,
135,2003-01-11,,Premier League,Matchweek 23,Sat,Home,D,1,1,Aston Villa,,43210,,,Paul Durkin,Match Report,,2002-2003,2002-2003,2002-2003,
136,2003-01-18,,Premier League,Matchweek 24,Sat,Away,W,1,0,Southampton,,32104,,,Stephen Bennett,Match Report,,2002-2003,2002-2003,2002-2003,
137,2003-01-29,,Premier League,Matchweek 25,Wed,Home,D,2,2,Arsenal,,43668,,,Mark Halsey,Match Report,,2002-2003,2002-2003,2002-2003,
138,2003-02-02,,Premier League,Matchweek 26,Sun,Away,W,3,0,West Ham,,35033,,,Matt Messias,Match Report,,2002-2003,2002-2003,2002-2003,
139,2003-02-08,,Premier League,Matchweek 27,Sat,Home,D,1,1,Middlesbrough,,42247,,,Stephen Bennett,Match Report,,2002-2003,2002-2003,2002-2003,
140,2003-02-20,,UEFA Cup,Fourth round,Thu,Away,W,1,0,fr Auxerre,,,,,Massimo De Santis,Match Report,Leg 1 of 2,2002-2003,2002-2003,2002-2003,
141,2003-02-23,,Premier League,Matchweek 28,Sun,Away,L,1,2,Birmingham City,,29449,,,Clive Wilkes,Match Report,,2002-2003,2002-2003,2002-2003,
142,2003-02-27,,UEFA Cup,Fourth round,Thu,Home,W,2,0,fr Auxerre,,,,,López Nieto,Match Report,Leg 2 of 2, Liverpool won,2002-2003,2002-2003,2002-2003
143,2003-03-08,,Premier League,Matchweek 29,Sat,Home,W,2,0,Bolton,,41462,,,Graham Barber,Match Report,,2002-2003,2002-2003,2002-2003,
144,2003-03-13,,UEFA Cup,Quarter-finals,Thu,Away,D,1,1,sct Celtic,,,,,Terje Hauge,Match Report,Leg 1 of 2,2002-2003,2002-2003,2002-2003,
145,2003-03-16,,Premier League,Matchweek 30,Sun,Away,W,3,2,Tottenham,,36077,,,Uriah Rennie,Match Report,,2002-2003,2002-2003,2002-2003,
146,2003-03-20,,UEFA Cup,Quarter-finals,Thu,Home,L,0,2,sct Celtic,,,,,Markus Merk,Match Report,Leg 2 of 2, Celtic won,2002-2003,2002-2003,2002-2003
147,2003-03-23,,Premier League,Matchweek 31,Sun,Home,W,3,1,Leeds United,,43021,,,Andy D'Urso,Match Report,,2002-2003,2002-2003,2002-2003,
148,2003-04-05,,Premier League,Matchweek 32,Sat,Away,L,0,4,Manchester Utd,,67639,,,Mike Riley,Match Report,,2002-2003,2002-2003,2002-2003,
149,2003-04-12,,Premier League,Matchweek 33,Sat,Home,W,2,0,Fulham,,42120,,,Alan Wiley,Match Report,,2002-2003,2002-2003,2002-2003,
150,2003-04-19,,Premier League,Matchweek 34,Sat,Away,W,2,1,Everton,,40162,,,Paul Durkin,Match Report,,2002-2003,2002-2003,2002-2003,
151,2003-04-21,,Premier League,Matchweek 35,Mon,Home,W,2,1,Charlton Ath,,42010,,,Steve Dunn,Match Report,,2002-2003,2002-2003,2002-2003,
152,2003-04-26,,Premier League,Matchweek 36,Sat,Away,W,6,0,West Brom,,27128,,,Dermot Gallagher,Match Report,,2002-2003,2002-2003,2002-2003,
153,2003-05-03,,Premier League,Matchweek 37,Sat,Home,L,1,2,Manchester City,,44220,,,Neale Barry,Match Report,,2002-2003,2002-2003,2002-2003,
154,2003-05-11,,Premier League,Matchweek 38,Sun,Away,L,1,2,Chelsea,,41911,,,Alan Wiley,Match Report,,2002-2003,2002-2003,2002-2003,
