,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
116,2004-04-24,,Premier League,Matchweek 35,Sat,Home,W,2,0,Charlton Ath,,"16,585",,,Matt Messias,Match Report,,2003-2004,2003-2004,2003-2004
117,2004-05-01,,Premier League,Matchweek 36,Sat,Away,D,1,1,Portsmouth,,"20,056",,,Steve Dunn,Match Report,,2003-2004,2003-2004,2003-2004
118,2004-05-09,,Premier League,Matchweek 37,Sun,Home,L,0,1,Arsenal,,"18,102",,,Mike Dean,Match Report,,2003-2004,2003-2004,2003-2004
119,2004-05-15,,Premier League,Matchweek 38,Sat,Away,W,2,0,Bolton,,"27,383",,,Graham Barber,Match Report,,2003-2004,2003-2004,2003-2004
120,2004-08-14,,Premier League,Matchweek 1,Sat,Away,D,1,1,Manchester City,,"44,026",,,Matt Messias,Match Report,,2004-2005,2004-2005,2004-2005
121,2004-08-21,,Premier League,Matchweek 2,Sat,Home,W,2,0,Bolton,,"17,541",,,Rob Styles,Match Report,,2004-2005,2004-2005,2004-2005
122,2004-08-25,,Premier League,Matchweek 3,Wed,Home,L,0,2,Middlesbrough,,"17,759",,,Dermot Gallagher,Match Report,,2004-2005,2004-2005,2004-2005
123,2004-08-30,,Premier League,Matchweek 4,Mon,Away,L,3,4,Portsmouth,,"20,021",,,Barry Knight,Match Report,,2004-2005,2004-2005,2004-2005
124,2004-09-11,,Premier League,Matchweek 5,Sat,Home,L,0,3,Arsenal,,"21,681",,,Mark Halsey,Match Report,,2004-2005,2004-2005,2004-2005
125,2004-09-18,,Premier League,Matchweek 6,Sat,Away,D,1,1,West Brom,,"24,054",,,Mike Dean,Match Report,,2004-2005,2004-2005,2004-2005
126,2004-09-25,,Premier League,Matchweek 7,Sat,Home,W,1,0,Southampton,,"19,237",,,Graham Poll,Match Report,,2004-2005,2004-2005,2004-2005
127,2004-10-04,,Premier League,Matchweek 8,Mon,Away,L,0,2,Crystal Palace,,"21,825",,,Mike Riley,Match Report,,2004-2005,2004-2005,2004-2005
128,2004-10-16,,Premier League,Matchweek 9,Sat,Home,L,2,4,Liverpool,,"21,884",,,Stephen Bennett,Match Report,,2004-2005,2004-2005,2004-2005
129,2004-10-23,,Premier League,Matchweek 10,Sat,Away,L,0,2,Aston Villa,,"34,460",,,Phil Dowd,Match Report,,2004-2005,2004-2005,2004-2005
130,2004-10-30,,Premier League,Matchweek 11,Sat,Home,W,2,0,Tottenham,,"21,317",,,Alan Wiley,Match Report,,2004-2005,2004-2005,2004-2005
131,2004-11-07,,Premier League,Matchweek 12,Sun,Away,W,4,1,Newcastle Utd,,"51,118",,,Howard Webb,Match Report,,2004-2005,2004-2005,2004-2005
132,2004-11-13,,Premier League,Matchweek 13,Sat,Home,L,1,4,Chelsea,,"21,887",,,Uriah Rennie,Match Report,,2004-2005,2004-2005,2004-2005
133,2004-11-20,,Premier League,Matchweek 14,Sat,Away,L,0,1,Everton,,"34,763",,,Graham Poll,Match Report,,2004-2005,2004-2005,2004-2005
134,2004-11-27,,Premier League,Matchweek 15,Sat,Home,L,0,2,Blackburn,,"19,103",,,Rob Styles,Match Report,,2004-2005,2004-2005,2004-2005
135,2004-12-04,,Premier League,Matchweek 16,Sat,Away,W,1,0,Norwich City,,"23,755",,,Alan Wiley,Match Report,,2004-2005,2004-2005,2004-2005
136,2004-12-13,,Premier League,Matchweek 17,Mon,Home,D,1,1,Manchester Utd,,"21,940",,,Phil Dowd,Match Report,,2004-2005,2004-2005,2004-2005
137,2004-12-20,,Premier League,Matchweek 18,Mon,Away,L,1,2,Charlton Ath,,"26,111",,,Stephen Bennett,Match Report,,2004-2005,2004-2005,2004-2005
138,2004-12-26,,Premier League,Matchweek 19,Sun,Away,L,0,2,Arsenal,,"38,047",,,Barry Knight,Match Report,,2004-2005,2004-2005,2004-2005
139,2004-12-28,,Premier League,Matchweek 20,Tue,Home,L,2,3,Birmingham City,,"18,706",,,Mark Clattenburg,Match Report,,2004-2005,2004-2005,2004-2005
140,2005-01-01,,Premier League,Matchweek 21,Sat,Home,W,3,1,Crystal Palace,,"18,680",,,Dermot Gallagher,Match Report,,2004-2005,2004-2005,2004-2005
141,2005-01-05,,Premier League,Matchweek 22,Wed,Away,D,3,3,Southampton,,"27,343",,,Graham Poll,Match Report,,2004-2005,2004-2005,2004-2005
142,2005-01-16,,Premier League,Matchweek 23,Sun,Home,W,1,0,West Brom,,"16,180",,,Peter Walton,Match Report,,2004-2005,2004-2005,2004-2005
143,2005-01-22,,Premier League,Matchweek 24,Sat,Away,W,2,1,Birmingham City,,"28,512",,,Phil Dowd,Match Report,,2004-2005,2004-2005,2004-2005
144,2005-02-02,,Premier League,Matchweek 25,Wed,Home,D,1,1,Aston Villa,,"17,624",,,Chris Foy,Match Report,,2004-2005,2004-2005,2004-2005
145,2005-02-05,,Premier League,Matchweek 26,Sat,Away,L,1,3,Liverpool,,"43,534",,,Rob Styles,Match Report,,2004-2005,2004-2005,2004-2005
146,2005-02-26,,Premier League,Matchweek 28,Sat,Away,L,0,2,Tottenham,,"35,885",,,Neale Barry,Match Report,,2004-2005,2004-2005,2004-2005
147,2005-03-05,,Premier League,Matchweek 29,Sat,Home,D,0,0,Charlton Ath,,"18,290",,,Stephen Bennett,Match Report,,2004-2005,2004-2005,2004-2005
148,2005-03-19,,Premier League,Matchweek 30,Sat,Away,L,0,1,Manchester Utd,,"67,959",,,Andy D'Urso,Match Report,,2004-2005,2004-2005,2004-2005
149,2005-04-03,,Premier League,Matchweek 31,Sun,Home,W,3,1,Portsmouth,,"20,502",,,Mark Clattenburg,Match Report,,2004-2005,2004-2005,2004-2005
150,2005-04-09,,Premier League,Matchweek 32,Sat,Away,L,1,3,Bolton,,"25,493",,,Dermot Gallagher,Match Report,,2004-2005,2004-2005,2004-2005
151,2005-04-16,,Premier League,Matchweek 33,Sat,Home,D,1,1,Manchester City,,"21,796",,,Neale Barry,Match Report,,2004-2005,2004-2005,2004-2005
152,2005-04-19,,Premier League,Matchweek 34,Tue,Away,D,1,1,Middlesbrough,,"30,650",,,Peter Walton,Match Report,,2004-2005,2004-2005,2004-2005
153,2005-04-23,,Premier League,Matchweek 35,Sat,Away,L,1,3,Chelsea,,"42,081",,,Alan Wiley,Match Report,,2004-2005,2004-2005,2004-2005
154,2005-04-30,,Premier League,Matchweek 36,Sat,Home,W,2,0,Everton,,"21,881",,,Stephen Bennett,Match Report,,2004-2005,2004-2005,2004-2005
155,2005-05-04,,Premier League,Matchweek 27,Wed,Home,L,1,3,Newcastle Utd,,"19,003",,,Graham Poll,Match Report,,2004-2005,2004-2005,2004-2005
156,2005-05-07,,Premier League,Matchweek 37,Sat,Away,W,3,1,Blackburn,,"18,990",,,Phil Dowd,Match Report,,2004-2005,2004-2005,2004-2005
157,2005-05-15,,Premier League,Matchweek 38,Sun,Home,W,6,0,Norwich City,,"21,927",,,Steve Dunn,Match Report,,2004-2005,2004-2005,2004-2005
