,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,
107,2007-10-20,,Premier League,Matchweek 10,Sat,Away,W,2,0,Middlesbrough,,,,,Mark Halsey,Match Report,,2007-2008,2007-2008,2007-2008,,
108,2007-10-24,,Champions Lg,Group stage,Wed,Home,W,2,0,de Schalke 04,,,,,Peter Fröjdfeldt,Match Report,,2007-2008,2007-2008,2007-2008,,
109,2007-10-27,,Premier League,Matchweek 11,Sat,Home,W,6,0,Manchester City,,41814,,,Mike Riley,Match Report,,2007-2008,2007-2008,2007-2008,,
110,2007-11-03,,Premier League,Matchweek 12,Sat,Away,W,2,0,Wigan Athletic,,,,,Stephen Bennett,Match Report,,2007-2008,2007-2008,2007-2008,,
111,2007-11-06,,Champions Lg,Group stage,Tue,Away,D,0,0,de Schalke 04,,,,,Massimo Busacca,Match Report,,2007-2008,2007-2008,2007-2008,,
112,2007-11-11,,Premier League,Matchweek 13,Sun,Home,D,1,1,Everton,,,,,Alan Wiley,Match Report,,2007-2008,2007-2008,2007-2008,,
113,2007-11-24,,Premier League,Matchweek 14,Sat,Away,W,2,0,Derby County,,,,,Andre Marriner,Match Report,,2007-2008,2007-2008,2007-2008,,
114,2007-11-28,,Champions Lg,Group stage,Wed,Away,W,4,0,no Rosenborg,,,,,Olegário Benquerença,Match Report,,2007-2008,2007-2008,2007-2008,,
115,2007-12-01,,Premier League,Matchweek 15,Sat,Home,W,1,0,West Ham,,,,,Howard Webb,Match Report,,2007-2008,2007-2008,2007-2008,,
116,2007-12-08,,Premier League,Matchweek 16,Sat,Home,W,2,0,Sunderland,,,,,Peter Walton,Match Report,,2007-2008,2007-2008,2007-2008,,
117,2007-12-11,,Champions Lg,Group stage,Tue,Home,D,0,0,es Valencia,,,,,Grzegorz Gilewski,Match Report,,2007-2008,2007-2008,2007-2008,,
118,2007-12-16,,Premier League,Matchweek 17,Sun,Away,L,0,1,Arsenal,,,,,Alan Wiley,Match Report,,2007-2008,2007-2008,2007-2008,,
119,2007-12-23,,Premier League,Matchweek 18,Sun,Away,W,1,0,Blackburn,,,,,Stephen Bennett,Match Report,,2007-2008,2007-2008,2007-2008,,
120,2007-12-26,,Premier League,Matchweek 19,Wed,Home,D,4,4,Aston Villa,,,,,Phil Dowd,Match Report,,2007-2008,2007-2008,2007-2008,,
121,2007-12-29,,Premier League,Matchweek 20,Sat,Home,W,2,1,Newcastle Utd,,,,,Mike Riley,Match Report,,2007-2008,2007-2008,2007-2008,,
122,2008-01-01,,Premier League,Matchweek 21,Tue,Away,W,2,1,Fulham,,,,,Mark Halsey,Match Report,,2007-2008,2007-2008,2007-2008,,
123,2008-01-12,,Premier League,Matchweek 22,Sat,Home,W,2,0,Tottenham,,,,,Alan Wiley,Match Report,,2007-2008,2007-2008,2007-2008,,
124,2008-01-19,,Premier League,Matchweek 23,Sat,Away,W,1,0,Birmingham City,,,,,Rob Styles,Match Report,,2007-2008,2007-2008,2007-2008,,
125,2008-01-30,,Premier League,Matchweek 24,Wed,Home,W,1,0,Reading,,,,,Mike Dean,Match Report,,2007-2008,2007-2008,2007-2008,,
126,2008-02-02,,Premier League,Matchweek 25,Sat,Away,D,1,1,Portsmouth,,,,,Howard Webb,Match Report,,2007-2008,2007-2008,2007-2008,,
127,2008-02-10,,Premier League,Matchweek 26,Sun,Home,D,0,0,Liverpool,,,,,Mike Riley,Match Report,,2007-2008,2007-2008,2007-2008,,
128,2008-02-19,,Champions Lg,Round of 16,Tue,Away,D,0,0,gr Olympiacos,,,,,Konrad Plautz,Match Report,Leg 1 of 2,2007-2008,2007-2008,2007-2008,,
129,2008-03-01,,Premier League,Matchweek 28,Sat,Away,W,4,0,West Ham,,,,,Peter Walton,Match Report,,2007-2008,2007-2008,2007-2008,,
130,2008-03-05,,Champions Lg,Round of 16,Wed,Home,W,3,0,gr Olympiacos,,,,,Mejuto González,Match Report,Leg 2 of 2, Chelsea won,2007-2008,2007-2008,2007-2008,
131,2008-03-12,,Premier League,Matchweek 29,Wed,Home,W,6,1,Derby County,,,,,Chris Foy,Match Report,,2007-2008,2007-2008,2007-2008,,
132,2008-03-15,,Premier League,Matchweek 30,Sat,Away,W,1,0,Sunderland,,,,,Mike Dean,Match Report,,2007-2008,2007-2008,2007-2008,,
133,2008-03-19,,Premier League,Matchweek 27,Wed,Away,D,4,4,Tottenham,,,,,Mike Riley,Match Report,,2007-2008,2007-2008,2007-2008,,
134,2008-03-23,,Premier League,Matchweek 31,Sun,Home,W,2,1,Arsenal,,,,,Mark Clattenburg,Match Report,,2007-2008,2007-2008,2007-2008,,
135,2008-03-30,,Premier League,Matchweek 32,Sun,Home,W,1,0,Middlesbrough,,,,,Phil Dowd,Match Report,,2007-2008,2007-2008,2007-2008,,
136,2008-04-02,,Champions Lg,Quarter-finals,Wed,Away,L,1,2,tr Fenerbahçe,,,,,Claus Bo Larsen,Match Report,Leg 1 of 2,2007-2008,2007-2008,2007-2008,,
137,2008-04-05,,Premier League,Matchweek 33,Sat,Away,W,2,0,Manchester City,,,,,Chris Foy,Match Report,,2007-2008,2007-2008,2007-2008,,
138,2008-04-08,,Champions Lg,Quarter-finals,Tue,Home,W,2,0,tr Fenerbahçe,,,,,Herbert Fandel,Match Report,Leg 2 of 2, Chelsea won,2007-2008,2007-2008,2007-2008,
139,2008-04-14,,Premier League,Matchweek 34,Mon,Home,D,1,1,Wigan Athletic,,,,,Andre Marriner,Match Report,,2007-2008,2007-2008,2007-2008,,
140,2008-04-17,,Premier League,Matchweek 35,Thu,Away,W,1,0,Everton,,,,,Martin Atkinson,Match Report,,2007-2008,2007-2008,2007-2008,,
141,2008-04-22,,Champions Lg,Semi-finals,Tue,Away,D,1,1,eng Liverpool,,,,,Konrad Plautz,Match Report,Leg 1 of 2,2007-2008,2007-2008,2007-2008,,
142,2008-04-26,,Premier League,Matchweek 36,Sat,Home,W,2,1,Manchester Utd,,,,,Alan Wiley,Match Report,,2007-2008,2007-2008,2007-2008,,
143,2008-04-30,,Champions Lg,Semi-finals,Wed,Home,W,3,2,eng Liverpool,,,,,Roberto Rosetti,Match Report,Leg 2 of 2, Chelsea won, Required Extra Time,2007-2008,2007-2008,2007-2008
144,2008-05-05,,Premier League,Matchweek 37,Mon,Away,W,2,0,Newcastle Utd,,,,,Stephen Bennett,Match Report,,2007-2008,2007-2008,2007-2008,,
145,2008-05-11,,Premier League,Matchweek 38,Sun,Home,D,1,1,Bolton,,,,,Chris Foy,Match Report,,2007-2008,2007-2008,2007-2008,,
146,2008-05-21,,Champions Lg,Final,Wed,Neutral,D,1,1,eng Manchester Utd,,,,,Ľuboš Michel,Match Report,Manchester Utd won on penalty kicks following extra time,2007-2008,2007-2008,2007-2008,,
147,2008-08-17,,Premier League,Matchweek 1,Sun,Home,W,4,0,Portsmouth,,,,4-3-2-1,Mike Dean,Match Report,,2008-2009,2008-2009,2008-2009,,
148,2008-08-24,,Premier League,Matchweek 2,Sun,Away,W,1,0,Wigan Athletic,,,,4-3-3,Alan Wiley,Match Report,,2008-2009,2008-2009,2008-2009,,
149,2008-08-31,,Premier League,Matchweek 3,Sun,Home,D,1,1,Tottenham,,,,4-1-4-1,Howard Webb,Match Report,,2008-2009,2008-2009,2008-2009,,
